Time(msecs),Uncorrected Depth,Corrected Depth,Drive_Rate,Flow,Feet_of Stainless,Up Hole Pressure,IK,Corrected Pressure,Atm Pressure,Depth to water,Height of box,Res_Pressure,Secs_since_1_JAN_1904,Depth jumps more than 1_foot,Down hole Pressure
770069.56,-2.10,-2.10,1.89,5.32,80.00,74.74,0.38,28.19,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,35.11
770069.56,-2.10,-2.10,1.89,5.32,80.00,74.74,0.38,28.19,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,35.11
770070.94,-2.20,-2.20,100.00,5.32,80.00,74.74,0.38,28.29,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.25
770069.56,-2.10,-2.10,1.89,5.32,80.00,74.74,0.38,28.19,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,35.11
770070.94,-2.20,-2.20,100.00,5.32,80.00,74.74,0.38,28.29,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.25
770072.06,-2.30,-2.30,100.00,5.31,80.00,74.74,0.37,28.39,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.73
770069.56,-2.10,-2.10,1.89,5.32,80.00,74.74,0.38,28.19,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,35.11
770070.94,-2.20,-2.20,100.00,5.32,80.00,74.74,0.38,28.29,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.25
770072.06,-2.30,-2.30,100.00,5.31,80.00,74.74,0.37,28.39,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.73
770073.25,-2.40,-2.40,100.00,5.32,80.00,74.74,0.37,28.49,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.59
770069.56,-2.10,-2.10,1.89,5.32,80.00,74.74,0.38,28.19,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,35.11
770070.94,-2.20,-2.20,100.00,5.32,80.00,74.74,0.38,28.29,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.25
770072.06,-2.30,-2.30,100.00,5.31,80.00,74.74,0.37,28.39,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.73
770073.25,-2.40,-2.40,100.00,5.32,80.00,74.74,0.37,28.49,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.59
770074.44,-2.50,-2.50,100.00,5.32,80.00,74.74,0.37,28.59,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.58
770069.56,-2.10,-2.10,1.89,5.32,80.00,74.74,0.38,28.19,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,35.11
770070.94,-2.20,-2.20,100.00,5.32,80.00,74.74,0.38,28.29,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.25
770072.06,-2.30,-2.30,100.00,5.31,80.00,74.74,0.37,28.39,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.73
770073.25,-2.40,-2.40,100.00,5.32,80.00,74.74,0.37,28.49,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.59
770074.44,-2.50,-2.50,100.00,5.32,80.00,74.74,0.37,28.59,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.58
770075.81,-2.60,-2.60,50.00,5.31,80.00,74.74,0.37,28.69,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,30.20
770069.56,-2.10,-2.10,1.89,5.32,80.00,74.74,0.38,28.19,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,35.11
770070.94,-2.20,-2.20,100.00,5.32,80.00,74.74,0.38,28.29,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.25
770072.06,-2.30,-2.30,100.00,5.31,80.00,74.74,0.37,28.39,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.73
770073.25,-2.40,-2.40,100.00,5.32,80.00,74.74,0.37,28.49,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.59
770074.44,-2.50,-2.50,100.00,5.32,80.00,74.74,0.37,28.59,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.58
770075.81,-2.60,-2.60,50.00,5.31,80.00,74.74,0.37,28.69,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,30.20
770077.19,-2.70,-2.70,100.00,5.32,80.00,74.74,0.37,28.79,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.64
770069.56,-2.10,-2.10,1.89,5.32,80.00,74.74,0.38,28.19,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,35.11
770070.94,-2.20,-2.20,100.00,5.32,80.00,74.74,0.38,28.29,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.25
770072.06,-2.30,-2.30,100.00,5.31,80.00,74.74,0.37,28.39,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.73
770073.25,-2.40,-2.40,100.00,5.32,80.00,74.74,0.37,28.49,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,29.59
770074.44,-2.50,-2.50,100.00,5.32,80.00,74.74,0.37,28.59,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.58
770075.81,-2.60,-2.60,50.00,5.31,80.00,74.74,0.37,28.69,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,30.20
770077.19,-2.70,-2.70,100.00,5.32,80.00,74.74,0.37,28.79,21.91,-15.00,5.50,-0.09,3583848192.00,0.00,31.64
